"","Gene","APAP","Control.1","Control.2"
"1","ENSG00000223972",8,5,9
"2","ENSG00000227232",324,204,248
"3","ENSG00000278267",15,15,16
"4","ENSG00000243485",0,0,1
"5","ENSG00000237613",0,0,0
"6","ENSG00000268020",2,0,0
"7","ENSG00000186092",1,0,0
"8","ENSG00000238009",25,14,16
"9","ENSG00000233750",30,47,43
"10","ENSG00000268903",18,18,27
"11","ENSG00000269981",10,14,21
"12","ENSG00000239906",9,6,9
"13","ENSG00000241860",64,109,95
"14","ENSG00000222623",3,3,5
"15","ENSG00000241599",9,7,7
"16","ENSG00000279928",6,3,6
"17","ENSG00000279457",405,325,408
"18","ENSG00000273874",3,6,9
"19","ENSG00000228463",93,36,74
"20","ENSG00000286448",0,0,1
"21","ENSG00000236679",3,0,3
"22","ENSG00000236601",2,2,1
"23","ENSG00000237094",199,255,193
"24","ENSG00000269732",2,1,0
"25","ENSG00000284733",13,11,13
"26","ENSG00000233653",19,35,31
"27","ENSG00000250575",31,67,69
"28","ENSG00000278757",4,2,2
"29","ENSG00000230021",64,67,53
"30","ENSG00000235146",0,2,0
"31","ENSG00000225972",4240,764,656
"32","ENSG00000225630",3507,4707,2917
"33","ENSG00000237973",42921,26316,26830
"34","ENSG00000229344",164,5778,66
"35","ENSG00000240409",2,2,0
"36","ENSG00000248527",7355,8444,6040
"37","ENSG00000198744",860,541,491
"38","ENSG00000268663",2,3,2
"39","ENSG00000284662",14,17,7
"40","ENSG00000229376",39,54,71
"41","ENSG00000228327",364,409,340
"42","ENSG00000223181",2,5,0
"43","ENSG00000229905",6,0,8
"44","ENSG00000237491",275,392,218
"45","ENSG00000230092",19,42,21
"46","ENSG00000177757",46,67,21
"47","ENSG00000228794",637,1093,907
"48","ENSG00000225880",41,40,33
"49","ENSG00000288531",0,0,0
"50","ENSG00000230368",6,4,8
"51","ENSG00000234711",0,0,3
"52","ENSG00000272438",1,0,0
"53","ENSG00000230699",9,4,6
"54","ENSG00000241180",0,1,0
"55","ENSG00000223764",289,108,50
"56","ENSG00000187634",282,91,81
"57","ENSG00000188976",1755,1064,888
"58","ENSG00000187961",132,129,132
"59","ENSG00000187583",80,11,13
"60","ENSG00000187642",12,0,13
"61","ENSG00000272512",17,8,21
"62","ENSG00000188290",55,22,13
"63","ENSG00000187608",363,88,198
"64","ENSG00000224969",0,0,1
"65","ENSG00000188157",2318,1212,1519
"66","ENSG00000217801",41,1,4
"67","ENSG00000273443",7,0,0
"68","ENSG00000237330",2,0,0
"69","ENSG00000131591",253,205,167
"70","ENSG00000285812",21,12,10
"71","ENSG00000223823",7,1,5
"72","ENSG00000207607",0,0,1
"73","ENSG00000198976",1,0,0
"74","ENSG00000272141",6,5,4
"75","ENSG00000162571",2,0,0
"76","ENSG00000186891",5,2,4
"77","ENSG00000186827",12,2,3
"78","ENSG00000078808",3101,3379,2990
"79","ENSG00000176022",441,299,258
"80","ENSG00000184163",12,23,15
"81","ENSG00000260179",11,9,12
"82","ENSG00000160087",773,604,520
"83","ENSG00000230415",21,25,33
"84","ENSG00000162572",175,144,102
"85","ENSG00000131584",986,789,819
"86","ENSG00000169972",209,94,143
"87","ENSG00000127054",1303,1077,1053
"88","ENSG00000240731",40,60,40
"89","ENSG00000224051",813,585,757
"90","ENSG00000169962",52,56,36
"91","ENSG00000107404",1115,964,994
"92","ENSG00000162576",499,151,149
"93","ENSG00000175756",1027,786,1084
"94","ENSG00000223663",0,4,0
"95","ENSG00000221978",4158,3728,3638
"96","ENSG00000224870",395,537,668
"97","ENSG00000242485",1124,839,785
"98","ENSG00000272455",35,63,45
"99","ENSG00000235098",8,15,10
"100","ENSG00000225905",0,4,0
"101","ENSG00000205116",11,28,16
"102","ENSG00000225285",9,37,10
"103","ENSG00000179403",1909,2527,2559
"104","ENSG00000215915",184,161,51
"105","ENSG00000160072",860,844,495
"106","ENSG00000284740",6,5,13
"107","ENSG00000197785",869,486,416
"108","ENSG00000205090",6,3,0
"109","ENSG00000160075",1620,1664,1381
"110","ENSG00000215014",39,17,15
"111","ENSG00000228594",36,11,8
"112","ENSG00000286989",5,2,0
"113","ENSG00000272106",62,63,89
"114","ENSG00000197530",546,601,684
"115","ENSG00000189409",48,37,14
"116","ENSG00000248333",603,591,453
"117","ENSG00000272004",1,4,1
"118","ENSG00000189339",1747,1379,1229
"119","ENSG00000269737",113,85,52
"120","ENSG00000215914",60,13,32
"121","ENSG00000008128",85,91,72
"122","ENSG00000268575",40,94,53
"123","ENSG00000227775",150,90,181
"124","ENSG00000215790",185,248,193
"125","ENSG00000008130",2748,3538,2494
"126","ENSG00000078369",5186,3161,2850
"127","ENSG00000231050",5,6,7
"128","ENSG00000169885",22,21,16
"129","ENSG00000178821",12,85,111
"130","ENSG00000142609",12,22,363
"131","ENSG00000187730",4,2,1
"132","ENSG00000226969",3,0,1
"133","ENSG00000067606",363,266,411
"134","ENSG00000271806",24,20,38
"135","ENSG00000182873",32,26,40
"136","ENSG00000162585",426,323,305
"137","ENSG00000234396",2,1,3
"138","ENSG00000157933",1675,1160,1053
"139","ENSG00000287356",15,17,10
"140","ENSG00000116151",197,139,150
"141","ENSG00000272161",0,0,6
"142","ENSG00000269896",11,12,24
"143","ENSG00000272420",0,1,5
"144","ENSG00000157916",3117,2492,3112
"145","ENSG00000157911",386,221,167
"146","ENSG00000149527",59,82,50
"147","ENSG00000224387",3,0,3
"148","ENSG00000229393",2,0,0
"149","ENSG00000157881",254,236,193
"150","ENSG00000197921",4,6,0
"151","ENSG00000272449",5,11,6
"152","ENSG00000238164",168,29,46
"153","ENSG00000157873",740,426,440
"154","ENSG00000225931",3,7,4
"155","ENSG00000228037",4,1,1
"156","ENSG00000157870",256,67,95
"157","ENSG00000142606",0,2,0
"158","ENSG00000215912",38,23,15
"159","ENSG00000283259",0,0,2
"160","ENSG00000177133",5,6,3
"161","ENSG00000142611",21,7,22
"162","ENSG00000283572",1,0,0
"163","ENSG00000226286",0,1,0
"164","ENSG00000279839",4,0,0
"165","ENSG00000272235",15,0,0
"166","ENSG00000287828",2,2,0
"167","ENSG00000286518",0,0,0
"168","ENSG00000130762",816,138,302
"169","ENSG00000272088",19,1,0
"170","ENSG00000162591",964,394,417
"171","ENSG00000238260",2,0,1
"172","ENSG00000158109",1798,2093,1746
"173","ENSG00000116213",312,329,276
"174","ENSG00000078900",132,10,25
"175","ENSG00000227589",2,0,1
"176","ENSG00000227372",417,422,397
"177","ENSG00000162592",5,0,2
"178","ENSG00000235169",41,48,66
"179","ENSG00000130764",953,997,891
"180","ENSG00000266075",9,7,0
"181","ENSG00000272153",42,48,30
"182","ENSG00000116198",984,1077,1009
"183","ENSG00000169598",163,120,135
"184","ENSG00000198912",512,486,506
"185","ENSG00000236423",44,78,53
"186","ENSG00000284703",0,1,0
"187","ENSG00000196581",49,47,55
"188","ENSG00000287586",2,2,0
"189","ENSG00000284666",2,0,0
"190","ENSG00000131697",434,215,131
"191","ENSG00000069424",962,272,210
"192","ENSG00000116254",0,2,2
"193","ENSG00000285629",0,2,0
"194","ENSG00000116251",2179,1214,1641
"195","ENSG00000226944",30,7,8
"196","ENSG00000158286",653,464,415
"197","ENSG00000116237",1774,1036,1472
"198","ENSG00000225077",6,12,10
"199","ENSG00000158292",179,84,340
"200","ENSG00000097021",339,169,264
"201","ENSG00000271746",0,0,4
"202","ENSG00000069812",16,2,6
"203","ENSG00000187017",626,755,853
"204","ENSG00000231868",4,1,0
"205","ENSG00000215788",82,79,42
"206","ENSG00000171680",186,125,73
"207","ENSG00000162408",1010,1037,723
"208","ENSG00000253022",5,3,1
"209","ENSG00000229519",22,27,10
"210","ENSG00000173662",3,0,7
"211","ENSG00000204859",592,514,648
"212","ENSG00000162413",1523,1307,875
"213","ENSG00000116273",407,384,230
"214","ENSG00000041988",172,143,186
"215","ENSG00000007923",1379,995,783
"216","ENSG00000228750",0,0,4
"217","ENSG00000237436",0,3,2
"218","ENSG00000171735",414,439,338
"219","ENSG00000227950",25,29,16
"220","ENSG00000237365",0,1,0
"221","ENSG00000207056",0,0,0
"222","ENSG00000237728",2,2,0
"223","ENSG00000270171",0,0,0
"224","ENSG00000270035",2,0,0
"225","ENSG00000269978",5,2,0
"226","ENSG00000049245",1547,834,1132
"227","ENSG00000269925",11,12,13
"228","ENSG00000049246",1438,1144,1770
"229","ENSG00000236266",37,24,81
"230","ENSG00000049247",21,0,8
"231","ENSG00000049249",32,17,0
"232","ENSG00000116288",2691,2178,2289
"233","ENSG00000200344",5,2,3
"234","ENSG00000284747",168,237,223
"235","ENSG00000284716",4,2,20
"236","ENSG00000116285",12483,8820,8362
"237","ENSG00000238290",8,7,6
"238","ENSG00000232848",2,0,0
"239","ENSG00000229305",6,4,2
"240","ENSG00000227634",34,11,24
"241","ENSG00000233645",5,0,0
"242","ENSG00000162426",11,9,9
"243","ENSG00000252254",0,0,0
"244","ENSG00000142599",2434,1969,1612
"245","ENSG00000232912",57,40,43
"246","ENSG00000221083",2,6,0
"247","ENSG00000270282",15,12,5
"248","ENSG00000234619",37,25,14
"249","ENSG00000224315",36,25,30
"250","ENSG00000222511",8,3,4
"251","ENSG00000226545",19,30,22
"252","ENSG00000228423",24,25,29
"253","ENSG00000229716",0,2,2
"254","ENSG00000074800",29261,10758,12590
"255","ENSG00000274258",2,1,1
"256","ENSG00000230679",4,1,0
"257","ENSG00000201725",0,1,2
"258","ENSG00000238249",4,0,2
"259","ENSG00000131686",5,0,0
"260","ENSG00000142583",83,4,14
"261","ENSG00000180758",562,340,365
"262","ENSG00000228526",695,135,148
"263","ENSG00000234546",61,4,2
"264","ENSG00000049239",15068,19889,16159
"265","ENSG00000171621",1233,1499,1224
"266","ENSG00000284652",27,49,76
"267","ENSG00000284693",76,138,202
"268","ENSG00000252956",2,2,1
"269","ENSG00000235263",43,66,37
"270","ENSG00000171612",1203,1149,851
"271","ENSG00000231181",99,94,66
"272","ENSG00000188807",302,188,116
"273","ENSG00000171608",476,221,275
"274","ENSG00000179840",16,21,2
"275","ENSG00000233268",1,6,2
"276","ENSG00000231789",10,5,6
"277","ENSG00000171603",888,476,479
"278","ENSG00000271264",1,1,2
"279","ENSG00000280113",2,0,0
"280","ENSG00000178585",398,295,275
"281","ENSG00000285701",28,24,24
"282","ENSG00000162441",1045,647,869
"283","ENSG00000228150",17,12,9
"284","ENSG00000173614",372,225,306
"285","ENSG00000202415",6,5,9
"286","ENSG00000283611",25,21,15
"287","ENSG00000265521",6,0,0
"288","ENSG00000162444",55,26,84
"289","ENSG00000130939",2246,1610,1738
"290","ENSG00000224340",5,9,6
"291","ENSG00000233623",21,14,24
"292","ENSG00000201746",1,0,8
"293","ENSG00000054523",4665,5184,4288
"294","ENSG00000264881",12,0,3
"295","ENSG00000199562",9,9,9
"296","ENSG00000284735",70,75,61
"297","ENSG00000284642",48,45,46
"298","ENSG00000142657",2655,1829,1614
"299","ENSG00000251503",2,2,1
"300","ENSG00000175279",18,8,9
"301","ENSG00000241563",3,3,5
"302","ENSG00000160049",1007,926,816
"303","ENSG00000142655",573,508,373
"304","ENSG00000287727",128,112,76
"305","ENSG00000243267",1,7,8
"306","ENSG00000130940",211,200,196
"307","ENSG00000272078",27,32,27
"308","ENSG00000175262",10,0,0
"309","ENSG00000215785",0,1,1
"310","ENSG00000120948",2912,2332,2337
"311","ENSG00000009724",2934,4554,4109
"312","ENSG00000116649",949,429,445
"313","ENSG00000171824",1145,861,757
"314","ENSG00000226849",19,5,6
"315","ENSG00000230337",0,0,5
"316","ENSG00000198793",5186,3765,4142
"317","ENSG00000225602",25,29,21
"318","ENSG00000253086",2,3,2
"319","ENSG00000171819",92,87,69
"320","ENSG00000207451",2,0,1
"321","ENSG00000238173",7,5,9
"322","ENSG00000120942",565,452,343
"323","ENSG00000238199",9,15,13
"324","ENSG00000284646",0,0,0
"325","ENSG00000235643",0,2,2
"326","ENSG00000284708",57,11,23
"327","ENSG00000116661",441,139,319
"328","ENSG00000132879",321,184,383
"329","ENSG00000116663",280,168,324
"330","ENSG00000116670",625,333,648
"331","ENSG00000162490",7,1,5
"332","ENSG00000177674",334,137,135
"333","ENSG00000215910",0,0,2
"334","ENSG00000177000",1686,1655,1271
"335","ENSG00000011021",681,1034,845
"336","ENSG00000175206",8,23,6
"337","ENSG00000285646",43,22,44
"338","ENSG00000201801",11,0,2
"339","ENSG00000116685",1309,1218,1722
"340","ENSG00000083444",3219,4275,3654
"341","ENSG00000287384",0,0,0
"342","ENSG00000116688",4566,4256,3794
"343","ENSG00000116691",385,298,418
"344","ENSG00000202461",1,4,1
"345","ENSG00000243539",2,0,0
"346","ENSG00000120949",16,12,8
"347","ENSG00000028137",1645,1166,1020
"348","ENSG00000263676",0,5,0
"349","ENSG00000048707",8383,7565,6143
"350","ENSG00000239149",38,40,31
"351","ENSG00000229484",49,55,33
"352","ENSG00000162496",4077,4184,4049
"353","ENSG00000221340",14,15,17
"354","ENSG00000276830",7,4,6
"355","ENSG00000272482",66,43,25
"356","ENSG00000116726",2,0,0
"357","ENSG00000116721",2,0,0
"358","ENSG00000179172",0,1,0
"359","ENSG00000120952",0,0,0
"360","ENSG00000187545",68,2,0
"361","ENSG00000204510",4,0,2
"362","ENSG00000232423",1,0,0
"363","ENSG00000277058",0,0,0
"364","ENSG00000229571",2,0,0
"365","ENSG00000275774",0,2,0
"366","ENSG00000280267",0,0,0
"367","ENSG00000279804",1,0,0
"368","ENSG00000182330",5,0,0
"369","ENSG00000237700",29,2,0
"370","ENSG00000204501",0,0,0
"371","ENSG00000204481",0,0,0
"372","ENSG00000204478",0,0,0
"373","ENSG00000162493",25,8,2
"374","ENSG00000116731",1239,1339,1167
"375","ENSG00000189337",190,298,259
"376","ENSG00000231606",3,2,1
"377","ENSG00000234593",2,1,0
"378","ENSG00000235829",0,0,0
"379","ENSG00000287756",0,0,1
"380","ENSG00000175147",78,15,13
"381","ENSG00000171729",202,38,37
"382","ENSG00000204464",48,14,8
"383","ENSG00000215720",32,6,4
"384","ENSG00000278480",14,2,0
"385","ENSG00000142621",49,10,5
"386","ENSG00000236045",2,0,0
"387","ENSG00000228140",1,4,2
"388","ENSG00000142634",918,454,517
"389","ENSG00000162438",3,4,0
"390","ENSG00000142615",0,1,0
"391","ENSG00000215704",4,4,5
"392","ENSG00000132906",274,167,233
"393","ENSG00000116138",1514,1423,1617
"394","ENSG00000251866",2,3,0
"395","ENSG00000272510",12,16,11
"396","ENSG00000116771",4140,2414,2332
"397","ENSG00000237301",4,2,0
"398","ENSG00000235084",4,0,2
"399","ENSG00000197312",3097,3956,4626
"400","ENSG00000271742",0,2,2
"401","ENSG00000116786",1601,936,740
"402","ENSG00000237938",73,89,35
"403","ENSG00000162461",73,72,165
"404","ENSG00000224459",2,0,1
"405","ENSG00000162460",217,105,284
"406","ENSG00000162458",625,111,167
"407","ENSG00000224321",32,3,4
"408","ENSG00000233954",285,211,206
"409","ENSG00000178715",9,7,9
"410","ENSG00000179743",62,32,55
"411","ENSG00000065526",3937,4550,3699
"412","ENSG00000270620",8,8,8
"413","ENSG00000116809",417,415,321
"414","ENSG00000234607",15,19,14
"415","ENSG00000183888",2,0,0
"416","ENSG00000173641",20,16,11
"417","ENSG00000186510",16,0,2
"418","ENSG00000232456",0,0,0
"419","ENSG00000184908",4,0,0
"420","ENSG00000185519",0,1,2
"421","ENSG00000142627",984,878,140
"422","ENSG00000227959",43,33,6
"423","ENSG00000224621",31,15,0
"424","ENSG00000142632",52,37,36
"425","ENSG00000237276",24,15,19
"426","ENSG00000288398",81,114,107
"427","ENSG00000132881",55,65,50
"428","ENSG00000233929",5,12,16
"429","ENSG00000037637",879,669,719
"430","ENSG00000055070",2066,1532,1352
"431","ENSG00000226457",12,22,4
"432","ENSG00000187144",45,20,4
"433","ENSG00000157191",1228,630,680
"434","ENSG00000226029",76,48,67
"435","ENSG00000080947",206,126,191
"436","ENSG00000206652",29481,21271,15136
"437","ENSG00000261135",2,0,0
"438","ENSG00000285853",2,0,0
"439","ENSG00000233421",16,2,5
"440","ENSG00000225710",6,1,15
"441","ENSG00000219481",3433,2117,1510
"442","ENSG00000271732",14,22,19
"443","ENSG00000215908",3217,2866,2109
"444","ENSG00000186301",4512,7598,8252
"445","ENSG00000282143",3,2,4
"446","ENSG00000207513",26574,19285,13522
"447","ENSG00000280114",46,26,65
"448","ENSG00000236698",129,107,112
"449","ENSG00000268869",85,33,86
"450","ENSG00000279151",8,2,4
"451","ENSG00000282740",2,0,4
"452","ENSG00000058453",686,321,332
"453","ENSG00000227684",0,3,1
"454","ENSG00000207389",5981,2520,1867
"455","ENSG00000186715",3225,2161,1926
"456","ENSG00000223643",0,0,2
"457","ENSG00000230239",4,0,22
"458","ENSG00000263811",0,0,2
"459","ENSG00000228549",55,15,47
"460","ENSG00000238142",63,21,103
"461","ENSG00000207005",4258,2053,1549
"462","ENSG00000272426",6,4,4
"463","ENSG00000117122",15,0,0
"464","ENSG00000159363",475,193,269
"465","ENSG00000117118",3122,2372,3222
"466","ENSG00000117115",46,167,86
"467","ENSG00000204362",0,0,0
"468","ENSG00000142623",181,3,4
"469","ENSG00000159339",18,52,29
"470","ENSG00000179051",1666,719,503
"471","ENSG00000074964",4192,6135,5092
"472","ENSG00000117148",13,0,0
"473","ENSG00000261781",0,2,0
"474","ENSG00000117154",53,9,51
"475","ENSG00000280222",15,12,15
"476","ENSG00000230035",1,0,0
"477","ENSG00000225387",0,0,0
"478","ENSG00000179023",492,312,247
"479","ENSG00000159423",9354,9242,11865
"480","ENSG00000221662",7,15,11
"481","ENSG00000169991",670,813,287
"482","ENSG00000272084",21,38,35
"483","ENSG00000127481",15529,13900,13714
"484","ENSG00000230424",14,4,8
"485","ENSG00000127463",2379,1734,1905
"486","ENSG00000053372",858,811,825
"487","ENSG00000286064",23,90,98
"488","ENSG00000211454",649,779,1465
"489","ENSG00000162482",2595,1005,4870
"490","ENSG00000270728",36,22,52
"491","ENSG00000053371",1096,674,1078
"492","ENSG00000200403",0,0,2
"493","ENSG00000040487",525,308,268
"494","ENSG00000077549",3242,1907,1631
"495","ENSG00000240490",4,8,2
"496","ENSG00000173436",273,180,149
"497","ENSG00000158747",134,92,37
"498","ENSG00000226396",35,19,33
"499","ENSG00000158748",8,12,12
"500","ENSG00000162542",451,350,319
"501","ENSG00000178828",1,1,2
"502","ENSG00000169914",342,298,285
"503","ENSG00000188257",30,18136,950
"504","ENSG00000127472",63,79,91
"505","ENSG00000117215",2,2,2
"506","ENSG00000158786",2,0,0
"507","ENSG00000227066",104,27,12
"508","ENSG00000187980",27,0,0
"509","ENSG00000162543",1356,130,37
"510","ENSG00000228105",2,0,0
"511","ENSG00000158816",2,2,0
"512","ENSG00000236963",2,0,0
"513","ENSG00000284641",6,11,18
"514","ENSG00000284743",1,16,15
"515","ENSG00000162545",956,1048,780
"516","ENSG00000090432",592,463,514
"517","ENSG00000183114",19,3,4
"518","ENSG00000158825",243,257,322
"519","ENSG00000158828",828,810,996
"520","ENSG00000117242",158,111,114
"521","ENSG00000244038",4783,3080,2954
"522","ENSG00000117245",36,43,42
"523","ENSG00000189410",22,4,2
"524","ENSG00000233069",1,2,5
"525","ENSG00000127483",5000,3587,3771
"526","ENSG00000075151",4230,2343,2122
"527","ENSG00000251914",1,0,2
"528","ENSG00000221808",4,11,7
"529","ENSG00000233072",28,24,16
"530","ENSG00000236073",22,9,5
"531","ENSG00000235112",56,42,19
"532","ENSG00000287192",11,6,2
"533","ENSG00000117298",2760,3744,4508
"534","ENSG00000236936",28,42,41
"535","ENSG00000231105",41,91,78
"536","ENSG00000236216",2,0,0
"537","ENSG00000227001",15,10,9
"538","ENSG00000187952",73,77,137
"539","ENSG00000186543",2,0,1
"540","ENSG00000142794",343,282,57
"541","ENSG00000162551",2844,2653,1973
"542","ENSG00000233431",2,4,0
"543","ENSG00000076864",1738,829,816
"544","ENSG00000090686",1951,1455,1459
"545","ENSG00000231978",8,8,14
"546","ENSG00000187942",20,31,7
"547","ENSG00000142798",7147,5031,4466
"548","ENSG00000232037",4,12,6
"549","ENSG00000228397",2,0,0
"550","ENSG00000218510",64,45,73
"551","ENSG00000070831",6546,3294,3627
"552","ENSG00000285752",19,14,15
"553","ENSG00000230068",36,37,18
"554","ENSG00000271428",45,32,21
"555","ENSG00000162552",149,56,27
"556","ENSG00000285873",2,0,1
"557","ENSG00000184677",1915,1204,1264
"558","ENSG00000237200",42,22,13
"559","ENSG00000070886",1,2,0
"560","ENSG00000173372",1837,596,1866
"561","ENSG00000159189",2427,670,2033
"562","ENSG00000173369",3491,910,2955
"563","ENSG00000133216",129,4,19
"564","ENSG00000225952",0,0,2
"565","ENSG00000227868",5,1,2
"566","ENSG00000004487",1975,1349,1262
"567","ENSG00000240553",9,11,8
"568","ENSG00000263793",0,0,0
"569","ENSG00000266802",5,0,4
"570","ENSG00000169641",1225,921,721
"571","ENSG00000229010",42,18,16
"572","ENSG00000206935",8,5,0
"573","ENSG00000252578",4,1,3
"574","ENSG00000179546",0,0,2
"575","ENSG00000215381",0,0,0
"576","ENSG00000261326",459,589,647
"577","ENSG00000284726",50,81,77
"578","ENSG00000125944",4164,3178,2786
"579","ENSG00000125945",416,260,579
"580","ENSG00000249087",37,19,141
"581","ENSG00000271420",19,17,34
"582","ENSG00000204219",2392,2324,2895
"583","ENSG00000232482",30,30,28
"584","ENSG00000088280",674,882,1100
"585","ENSG00000007968",280,14,11
"586","ENSG00000235052",0,0,0
"587","ENSG00000117318",552,434,316
"588","ENSG00000285802",7,0,0
"589","ENSG00000197880",8,3,0
"590","ENSG00000229239",2,0,0
"591","ENSG00000142676",10018,6032,8682
"592","ENSG00000236810",41,64,77
"593","ENSG00000011007",2031,2367,2140
"594","ENSG00000057757",1001,646,690
"595","ENSG00000011009",1489,794,669
"596","ENSG00000117308",1153,1030,1118
"597","ENSG00000117305",3233,3093,4813
"598","ENSG00000179163",2744,1187,1826
"599","ENSG00000188822",1,2,0
"600","ENSG00000229106",4,5,0
"601","ENSG00000230228",0,0,0
"602","ENSG00000189266",2314,879,1179
"603","ENSG00000188529",2921,2562,2362
"604","ENSG00000225315",0,0,0
"605","ENSG00000142661",2,10,5
"606","ENSG00000142677",243,116,202
"607","ENSG00000185436",439,659,408
"608","ENSG00000230023",2,0,2
"609","ENSG00000232298",3,2,21
"610","ENSG00000158055",31,20,34
"611","ENSG00000001460",138,50,76
"612","ENSG00000001461",485,337,390
"613","ENSG00000286061",2,0,5
"614","ENSG00000117602",313,109,144
"615","ENSG00000264443",0,2,4
"616","ENSG00000184454",81,88,201
"617","ENSG00000239106",1,0,0
"618","ENSG00000133226",2687,1981,1635
"619","ENSG00000284699",2,0,0
"620","ENSG00000169504",2974,2516,3205
"621","ENSG00000238482",4,4,7
"622","ENSG00000020633",147,117,62
"623","ENSG00000278034",1,0,1
"624","ENSG00000229162",4,3,0
"625","ENSG00000231953",4,0,1
"626","ENSG00000117614",622,383,491
"627","ENSG00000284602",19,44,32
"628","ENSG00000284657",8,6,15
"629","ENSG00000117616",1797,1059,1790
"630","ENSG00000272432",6,9,9
"631","ENSG00000261349",34,35,53
"632","ENSG00000187010",78,87,99
"633","ENSG00000224183",17,15,35
"634","ENSG00000259984",7,12,11
"635","ENSG00000183726",1281,731,725
"636","ENSG00000188672",23,18,18
"637","ENSG00000238084",18,11,16
"638","ENSG00000204178",1774,2474,2059
"639","ENSG00000157978",1180,978,995
"640","ENSG00000225643",11,13,1
"641","ENSG00000117643",820,670,903
"642","ENSG00000233478",31,114,58
"643","ENSG00000162430",1629,848,691
"644","ENSG00000228172",21,14,18
"645","ENSG00000117640",706,829,1122
"646","ENSG00000127423",65,17,15
"647","ENSG00000236528",0,0,2
"648","ENSG00000182749",168,95,89
"649","ENSG00000117632",1505,104,201
"650","ENSG00000158006",727,610,790
"651","ENSG00000207237",1,0,0
"652","ENSG00000158008",4,1,4
"653","ENSG00000158014",27,0,9
"654","ENSG00000284309",0,0,0
"655","ENSG00000175087",498,382,549
"656","ENSG00000197245",23,7,14
"657","ENSG00000282872",0,1,0
"658","ENSG00000236782",4,9,0
"659","ENSG00000142675",58,51,40
"660","ENSG00000188782",1,0,0
"661","ENSG00000236155",80,81,153
"662","ENSG00000278572",1,1,0
"663","ENSG00000130695",822,394,416
"664","ENSG00000270733",2,10,8
"665","ENSG00000142669",1248,294,371
"666","ENSG00000158062",702,283,188
"667","ENSG00000169442",285,17,67
"668","ENSG00000176092",57,0,6
"669","ENSG00000225854",4,0,0
"670","ENSG00000131914",3,5,0
"671","ENSG00000117682",1420,659,673
"672","ENSG00000223583",36,17,12
"673","ENSG00000225891",45,38,25
"674","ENSG00000198830",4153,1063,1191
"675","ENSG00000117676",1838,310,545
"676","ENSG00000238705",2,0,1
"677","ENSG00000252802",0,0,0
"678","ENSG00000229247",0,0,1
"679","ENSG00000260063",38,11,12
"680","ENSG00000117713",3938,3378,2736
"681","ENSG00000060642",381,680,891
"682","ENSG00000241188",5,2,0
"683","ENSG00000287810",0,1,1
"684","ENSG00000204160",672,554,551
"685","ENSG00000175793",194,6,4
"686","ENSG00000142751",721,583,670
"687","ENSG00000198746",314,181,204
"688","ENSG00000090273",1431,1456,1656
"689","ENSG00000131910",1423,432,1636
"690","ENSG00000175707",108,67,83
"691","ENSG00000172746",0,0,2
"692","ENSG00000253368",521,65,99
"693","ENSG00000158246",35,8,12
"694","ENSG00000090020",285,172,88
"695","ENSG00000214973",42,38,39
"696","ENSG00000225159",16,3,12
"697","ENSG00000142784",1140,1197,1376
"698","ENSG00000252098",0,1,0
"699","ENSG00000243659",9,4,1
"700","ENSG00000186501",683,592,406
"701","ENSG00000206888",6,4,3
"702","ENSG00000241547",14,4,2
"703","ENSG00000142765",83,71,45
"704","ENSG00000142733",615,265,271
"705","ENSG00000142748",1121,1990,2046
"706","ENSG00000181773",20,2,1
"707","ENSG00000158195",3108,1775,1498
"708","ENSG00000241169",36,25,15
"709","ENSG00000237429",2,0,0
"710","ENSG00000126705",616,431,299
"711","ENSG00000000938",756,407,284
"712","ENSG00000235912",54,29,16
"713","ENSG00000233975",2,0,0
"714","ENSG00000126709",259,92,91
"715","ENSG00000225886",10,1,3
"716","ENSG00000009780",320,251,249
"717","ENSG00000231344",10,1,3
"718","ENSG00000230833",3,6,14
"719","ENSG00000117758",1476,755,770
"720","ENSG00000269971",18,15,9
"721","ENSG00000270031",2,1,5
"722","ENSG00000223062",3,0,0
"723","ENSG00000286433",6,10,0
"724","ENSG00000117751",756,482,511
"725","ENSG00000252947",28,19,31
"726","ENSG00000130775",841,629,363
"727","ENSG00000117748",713,298,403
"728","ENSG00000130768",23,10,9
"729","ENSG00000227050",1,0,0
"730","ENSG00000158156",333,294,317
"731","ENSG00000158161",912,706,813
"732","ENSG00000238231",13,7,19
"733","ENSG00000240750",27,20,7
"734","ENSG00000228589",268,359,316
"735","ENSG00000228943",0,0,0
"736","ENSG00000214812",0,3,0
"737","ENSG00000169403",272,110,161
"738","ENSG00000126698",1292,1062,1029
"739","ENSG00000130770",1342,854,1693
"740","ENSG00000270605",85,26,97
"741","ENSG00000271398",0,0,0
"742","ENSG00000130766",752,425,538
"743","ENSG00000130772",420,293,336
"744","ENSG00000204138",1967,1471,1468
"745","ENSG00000206779",32,26,12
"746","ENSG00000229820",34,23,19
"747","ENSG00000221216",2,4,5
"748","ENSG00000180198",1347,434,586
"749","ENSG00000242125",1073,683,488
"750","ENSG00000200087",6553,3576,3329
"751","ENSG00000231468",16,10,4
"752","ENSG00000279443",22,7,21
"753","ENSG00000180098",545,311,255
"754","ENSG00000197989",447,252,181
"755","ENSG00000221539",14,9,1
"756","ENSG00000120656",397,197,300
"757","ENSG00000188060",301,27,16
"758","ENSG00000229388",6,12,8
