"","Gene","APAP","Control.1","Control.2"
"37813","ENSG00000178904",1050,723,659
"37814","ENSG00000105185",802,379,478
"37815","ENSG00000105186",646,421,490
"37816","ENSG00000201388",1,2,0
"37817","ENSG00000242325",6,4,0
"37818","ENSG00000242436",2,5,4
"37819","ENSG00000267557",3,2,1
"37820","ENSG00000186326",0,0,0
"37821","ENSG00000267475",12,6,0
"37822","ENSG00000213965",439,274,198
"37823","ENSG00000267567",1,0,0
"37824","ENSG00000173809",10,8,9
"37825","ENSG00000267245",0,0,0
"37826","ENSG00000021488",650,341,295
"37827","ENSG00000267555",8,1,2
"37828","ENSG00000201967",10,9,11
"37829","ENSG00000121289",393,177,248
"37830","ENSG00000239988",2,2,0
"37831","ENSG00000131944",61,21,20
"37832","ENSG00000131941",713,779,668
"37833","ENSG00000267611",5,9,6
"37834","ENSG00000076650",338,227,228
"37835","ENSG00000166359",42,21,15
"37836","ENSG00000130881",972,808,637
"37837","ENSG00000267054",0,2,0
"37838","ENSG00000130876",7,3,0
"37839","ENSG00000267714",0,2,1
"37840","ENSG00000270212",4,0,2
"37841","ENSG00000245848",1991,858,1480
"37842","ENSG00000267296",75,58,52
"37843","ENSG00000267130",4,5,9
"37844","ENSG00000153879",1912,1775,1550
"37845","ENSG00000124299",3425,3301,3813
"37846","ENSG00000232429",1,0,0
"37847","ENSG00000124302",4,2,0
"37848","ENSG00000153885",210,273,460
"37849","ENSG00000277013",22,46,69
"37850","ENSG00000257103",1229,813,845
"37851","ENSG00000166398",654,636,767
"37852","ENSG00000257074",5,7,9
"37853","ENSG00000267219",9,8,6
"37854","ENSG00000105220",7153,4613,4211
"37855","ENSG00000126249",59,43,41
"37856","ENSG00000264317",2,6,0
"37857","ENSG00000267024",0,0,1
"37858","ENSG00000126261",1950,1431,1165
"37859","ENSG00000142279",111,139,56
"37860","ENSG00000248830",19,12,13
"37861","ENSG00000268751",0,1,4
"37862","ENSG00000205209",64,85,102
"37863","ENSG00000271049",40,41,77
"37864","ENSG00000252230",6,5,13
"37865","ENSG00000268683",13,4,19
"37866","ENSG00000279971",41,30,60
"37867","ENSG00000279329",5,4,10
"37868","ENSG00000089335",846,671,990
"37869","ENSG00000274104",5,6,12
"37870","ENSG00000197841",434,463,590
"37871","ENSG00000153896",91,43,57
"37872","ENSG00000270281",0,1,0
"37873","ENSG00000267767",0,2,13
"37874","ENSG00000261754",2,2,6
"37875","ENSG00000269086",15,8,12
"37876","ENSG00000271109",3,4,2
"37877","ENSG00000270876",4,0,8
"37878","ENSG00000168661",125,91,163
"37879","ENSG00000280106",63,40,42
"37880","ENSG00000180884",431,164,241
"37881","ENSG00000089351",599,440,404
"37882","ENSG00000269303",2,2,0
"37883","ENSG00000271032",8,10,7
"37884","ENSG00000105711",202,192,184
"37885","ENSG00000105707",6410,9764,11399
"37886","ENSG00000227392",1245,1684,1617
"37887","ENSG00000179066",13,2,16
"37888","ENSG00000089356",2,0,3
"37889","ENSG00000153902",241,18,53
"37890","ENSG00000279619",16,9,8
"37891","ENSG00000266964",15,6,21
"37892","ENSG00000221946",0,2,2
"37893","ENSG00000089327",664,180,148
"37894","ENSG00000177558",1,0,0
"37895","ENSG00000262497",7,0,5
"37896","ENSG00000105699",4266,1862,2410
"37897","ENSG00000271366",105,51,46
"37898","ENSG00000268947",86,71,65
"37899","ENSG00000105698",1771,1874,1353
"37900","ENSG00000105697",2628,5619,1925
"37901","ENSG00000105695",0,8,0
"37902","ENSG00000012124",116,40,0
"37903","ENSG00000269553",1,3,0
"37904","ENSG00000185897",13,3,1
"37905","ENSG00000126251",7,0,1
"37906","ENSG00000268222",10,2,2
"37907","ENSG00000205786",2,6,1
"37908","ENSG00000233214",0,6,2
"37909","ENSG00000232680",0,22,1
"37910","ENSG00000126262",44,60,29
"37911","ENSG00000188508",0,0,0
"37912","ENSG00000161249",33,42,35
"37913","ENSG00000189001",0,0,2
"37914","ENSG00000105679",0,2,0
"37915","ENSG00000236144",157,111,105
"37916","ENSG00000105677",423,432,450
"37917","ENSG00000105675",2,7,1
"37918","ENSG00000249115",417,233,177
"37919","ENSG00000126254",914,546,649
"37920","ENSG00000105672",34,14,46
"37921","ENSG00000126267",2388,1501,1799
"37922","ENSG00000105668",2,2,0
"37923","ENSG00000226510",0,0,1
"37924","ENSG00000011590",64,32,48
"37925","ENSG00000272333",1577,1781,1089
"37926","ENSG00000126246",29,36,69
"37927","ENSG00000161265",72,59,72
"37928","ENSG00000205155",219,159,225
"37929","ENSG00000267439",2,3,0
"37930","ENSG00000267796",61,46,35
"37931","ENSG00000004776",60,43,28
"37932","ENSG00000167595",203,120,61
"37933","ENSG00000267049",5,3,2
"37934","ENSG00000004777",156,70,74
"37935","ENSG00000225872",23,10,30
"37936","ENSG00000250799",4148,2008,2740
"37937","ENSG00000161270",2,2,0
"37938","ENSG00000126259",0,0,0
"37939","ENSG00000105290",2,0,4
"37940","ENSG00000167604",219,104,76
"37941","ENSG00000280194",3,0,0
"37942","ENSG00000126264",23,11,14
"37943","ENSG00000011600",1075,216,366
"37944","ENSG00000126243",130,151,142
"37945","ENSG00000267786",1,2,0
"37946","ENSG00000267113",2,8,4
"37947","ENSG00000205138",233,148,294
"37948","ENSG00000181392",132,144,161
"37949","ENSG00000239382",35,63,67
"37950","ENSG00000267698",3,7,2
"37951","ENSG00000105270",105,38,42
"37952","ENSG00000161277",89,45,82
"37953","ENSG00000075702",637,61,51
"37954","ENSG00000280023",11,1,4
"37955","ENSG00000105261",4,6,2
"37956","ENSG00000105258",57,53,76
"37957","ENSG00000105254",601,347,554
"37958","ENSG00000126247",3143,1481,1641
"37959","ENSG00000270760",13,13,5
"37960","ENSG00000161281",49,73,29
"37961","ENSG00000267005",2,5,0
"37962","ENSG00000196357",114,111,128
"37963","ENSG00000200179",1,0,0
"37964","ENSG00000167635",2022,1308,1526
"37965","ENSG00000232677",107,51,96
"37966","ENSG00000267053",26,7,29
"37967","ENSG00000142065",234,139,360
"37968","ENSG00000266973",14,3,8
"37969","ENSG00000267363",2,0,3
"37970","ENSG00000181007",99,45,75
"37971","ENSG00000267142",0,0,0
"37972","ENSG00000186017",311,295,339
"37973","ENSG00000267309",3,2,5
"37974","ENSG00000267091",2,2,0
"37975","ENSG00000254004",626,259,438
"37976","ENSG00000228629",5,6,2
"37977","ENSG00000186020",512,265,324
"37978","ENSG00000233527",61,28,64
"37979","ENSG00000161298",59,44,55
"37980","ENSG00000197808",154,62,97
"37981","ENSG00000276071",30,17,18
"37982","ENSG00000225975",123,63,90
"37983","ENSG00000189042",279,127,174
"37984","ENSG00000267041",295,219,155
"37985","ENSG00000267260",2,4,0
"37986","ENSG00000267353",4,2,2
"37987","ENSG00000267254",160,101,92
"37988","ENSG00000197863",348,205,219
"37989","ENSG00000251247",126,85,148
"37990","ENSG00000206669",0,2,5
"37991","ENSG00000185869",135,70,99
"37992","ENSG00000243297",1,4,2
"37993","ENSG00000198453",204,143,189
"37994","ENSG00000197050",174,124,188
"37995","ENSG00000275547",3,2,0
"37996","ENSG00000267345",7,1,2
"37997","ENSG00000267672",22,9,13
"37998","ENSG00000267360",2,1,2
"37999","ENSG00000196967",221,100,213
"38000","ENSG00000245680",410,108,272
"38001","ENSG00000188283",261,164,226
"38002","ENSG00000267605",36,22,30
"38003","ENSG00000226686",12,13,14
"38004","ENSG00000286449",10,8,3
"38005","ENSG00000181666",810,469,557
"38006","ENSG00000276846",2,2,0
"38007","ENSG00000267682",57,47,33
"38008","ENSG00000189164",183,120,186
"38009","ENSG00000279936",10,0,6
"38010","ENSG00000196437",158,93,203
"38011","ENSG00000171827",230,168,181
"38012","ENSG00000266916",1,0,1
"38013","ENSG00000267115",2,0,0
"38014","ENSG00000188227",69,26,44
"38015","ENSG00000180458",2,0,0
"38016","ENSG00000267470",35,54,70
"38017","ENSG00000171817",35,62,107
"38018","ENSG00000180479",127,67,135
"38019","ENSG00000120784",333,185,320
"38020","ENSG00000196381",18,17,9
"38021","ENSG00000267552",0,0,2
"38022","ENSG00000267319",0,0,1
"38023","ENSG00000198182",37,35,43
"38024","ENSG00000267152",5,8,12
"38025","ENSG00000287496",2,2,4
"38026","ENSG00000189144",198,147,211
"38027","ENSG00000267422",23,27,18
"38028","ENSG00000267640",10,14,3
"38029","ENSG00000225868",3,1,5
"38030","ENSG00000171804",0,2,2
"38031","ENSG00000105738",1880,737,897
"38032","ENSG00000268051",19,28,13
"38033","ENSG00000268764",26,7,9
"38034","ENSG00000269653",23,16,15
"38035","ENSG00000268499",8,5,2
"38036","ENSG00000275132",0,2,6
"38037","ENSG00000011332",4,6,4
"38038","ENSG00000167642",79,31,32
"38039","ENSG00000167641",23,22,18
"38040","ENSG00000200209",0,1,0
"38041","ENSG00000167645",580,486,458
"38042","ENSG00000099337",307,310,150
"38043","ENSG00000099338",29,54,33
"38044","ENSG00000266963",0,1,0
"38045","ENSG00000099341",2222,1467,1780
"38046","ENSG00000179168",17,7,12
"38047","ENSG00000188766",13,10,4
"38048","ENSG00000130244",216,132,179
"38049","ENSG00000171777",145,111,70
"38050","ENSG00000196218",29,36,24
"38051","ENSG00000269445",0,0,0
"38052","ENSG00000104814",50,35,27
"38053","ENSG00000267291",2,0,0
"38054","ENSG00000178982",1999,1265,1403
"38055","ENSG00000130402",7081,5390,6082
"38056","ENSG00000267375",41,36,25
"38057","ENSG00000182472",482,329,467
"38058","ENSG00000267892",17,33,30
"38059","ENSG00000205076",0,0,3
"38060","ENSG00000178934",0,0,1
"38061","ENSG00000171747",2015,258,6030
"38062","ENSG00000104823",2069,2741,3346
"38063","ENSG00000268756",30,101,45
"38064","ENSG00000104824",2753,2662,2026
"38065","ENSG00000269688",43,75,55
"38066","ENSG00000187994",174,163,165
"38067","ENSG00000269050",1,0,0
"38068","ENSG00000068903",1030,1111,1096
"38069","ENSG00000104825",386,467,225
"38070","ENSG00000262484",13,13,13
"38071","ENSG00000104835",127,104,98
"38072","ENSG00000269547",0,0,1
"38073","ENSG00000128626",505,400,363
"38074","ENSG00000269486",224,166,443
"38075","ENSG00000269190",865,622,948
"38076","ENSG00000287271",34,45,40
"38077","ENSG00000161243",80,69,76
"38078","ENSG00000267992",2,0,2
"38079","ENSG00000183760",0,0,2
"38080","ENSG00000130669",541,468,307
"38081","ENSG00000269172",6,22,6
"38082","ENSG00000188505",0,0,0
"38083","ENSG00000268510",1,0,0
"38084","ENSG00000128011",14,15,16
"38085","ENSG00000130755",260,158,167
"38086","ENSG00000269246",16,0,0
"38087","ENSG00000179134",1521,1359,1004
"38088","ENSG00000241983",8,11,15
"38089","ENSG00000006712",1182,782,903
"38090","ENSG00000063322",1095,713,666
"38091","ENSG00000128016",4204,2515,1003
"38092","ENSG00000266559",2,0,0
"38093","ENSG00000090924",943,535,201
"38094","ENSG00000105193",1903,1778,1877
"38095","ENSG00000196235",2611,2109,2344
"38096","ENSG00000105197",892,672,704
"38097","ENSG00000176401",32,13,17
"38098","ENSG00000269792",1,0,2
"38099","ENSG00000269584",0,0,0
"38100","ENSG00000176396",176,106,140
"38101","ENSG00000105198",0,0,0
"38102","ENSG00000226025",0,2,0
